127.0.0.1 - - [23/Jul/2017:17:37:44 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/index.jsp HTTP/1.1" 200 26343
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/assets/css/main.css HTTP/1.1" 200 77369
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/coinsight.png HTTP/1.1" 200 18782
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/assets/css/font-awesome.min.css HTTP/1.1" 200 29067
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/anigif.gif HTTP/1.1" 200 578592
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/logo_bithumb.png HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/poloniex.png HTTP/1.1" 200 14126
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/eth.png HTTP/1.1" 200 16700
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/dash.png HTTP/1.1" 200 23838
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/btc.png HTTP/1.1" 200 17346
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/ltc.png HTTP/1.1" 200 118862
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/etc.png HTTP/1.1" 200 9213
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/images/xrp.png HTTP/1.1" 200 65883
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/assets/js/jquery.min.js HTTP/1.1" 200 95962
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/assets/js/skel.min.js HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:46 +0900] "GET /coINsight/assets/js/main.js HTTP/1.1" 200 7034
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:48 +0900] "GET /coINsight/images/banner.jpg HTTP/1.1" 200 196079
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:48 +0900] "GET /coINsight/assets/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 76518
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:50 +0900] "GET /coINsight/bithumbUrl.jsp HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:51 +0900] "GET /coINsight/bithumbUrl.jsp HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:51 +0900] "GET /coINsight/poloniexUrl.jsp HTTP/1.1" 200 22047
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:52 +0900] "GET /coINsight/poloniexUrl.jsp HTTP/1.1" 200 22047
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:37:53 +0900] "GET /coINsight/poloniexUrl.jsp HTTP/1.1" 200 22047
0:0:0:0:0:0:0:1 - - [23/Jul/2017:17:38:33 +0900] "GET /coINsight/index.jsp HTTP/1.1" 200 26343
