DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,46305000,2984629806
2017-07-01 04:00:00,134992000,7615685608
2017-07-01 08:00:00,140116000,6329234147
2017-07-01 12:00:00,339339000,3497714666
2017-07-01 16:00:00,143136000,1591454549
2017-07-01 20:00:00,111740000,3970742092
2017-07-02 00:00:00,272909000,7475704682
2017-07-02 04:00:00,74800000,7856724907
2017-07-02 08:00:00,174580000,4591605348
2017-07-02 12:00:00,348928000,3528359012
2017-07-02 16:00:00,143136000,4787684836
2017-07-02 20:00:00,111740000,4144715304
2017-07-03 00:00:00,272909000,5868090548
2017-07-03 04:00:00,74800000,4582788205
2017-07-03 08:00:00,174580000,3286236055
2017-07-03 12:00:00,348928000,4095179041
2017-07-03 16:00:00,257465000,3357380376
2017-07-03 20:00:00,166320000,14640265295
2017-07-04 00:00:00,367948000,4768719382
2017-07-04 04:00:00,24696000,6245802601
2017-07-04 08:00:00,149760000,7255449510
2017-07-04 12:00:00,853671000,1597052977
2017-07-04 16:00:00,374255000,6095642425
2017-07-04 20:00:00,134074000,5510204711
2017-07-05 00:00:00,284466000,5385565085
2017-07-05 04:00:00,12460000,3174433325
2017-07-05 08:00:00,97278000,2959697652
2017-07-05 12:00:00,278820000,3780104862
2017-07-05 16:00:00,381920000,2670812538
2017-07-05 20:00:00,174648000,4559948487
2017-07-06 00:00:00,192200000,3777387722
2017-07-06 04:00:00,102531000,4040204612
2017-07-06 08:00:00,146452000,2505372161
2017-07-06 12:00:00,237044000,2437614202
2017-07-06 16:00:00,476901000,3547062628
2017-07-06 20:00:00,372480000,3022643352
2017-07-07 00:00:00,158508000,1842562102
2017-07-07 04:00:00,34232000,2371373087
2017-07-07 08:00:00,65457000,3462866962
2017-07-07 12:00:00,346304000,6504273263
2017-07-07 16:00:00,172256000,5157406240
2017-07-07 20:00:00,231300000,9035684128
