DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,218050,200281
2017-07-01 04:00:00,219250,196274
2017-07-01 08:00:00,223850,192302
2017-07-01 12:00:00,218900,194538
2017-07-01 16:00:00,214000,192290
2017-07-01 20:00:00,216100,190752
2017-07-02 00:00:00,213000,182827
2017-07-02 04:00:00,211600,178856
2017-07-02 08:00:00,206400,179920
2017-07-02 12:00:00,206700,184242
2017-07-02 16:00:00,206300,185542
2017-07-02 20:00:00,210200,183972
2017-07-03 00:00:00,207500,188608
2017-07-03 04:00:00,207000,189928
2017-07-03 08:00:00,210850,190041
2017-07-03 12:00:00,208250,192192
2017-07-03 16:00:00,211000,193271
2017-07-03 20:00:00,210900,203534
2017-07-04 00:00:00,216000,204444
2017-07-04 04:00:00,217100,200798
2017-07-04 08:00:00,220100,203872
2017-07-04 12:00:00,217700,205784
2017-07-04 16:00:00,221500,209632
2017-07-04 20:00:00,220800,204715
2017-07-05 00:00:00,220700,201286
2017-07-05 04:00:00,220000,204046
2017-07-05 08:00:00,219100,202759
2017-07-05 12:00:00,221000,204247
2017-07-05 16:00:00,222500,219693
2017-07-05 20:00:00,227750,219278
2017-07-06 00:00:00,234700,231647
2017-07-06 04:00:00,234600,235021
2017-07-06 08:00:00,242100,251213
2017-07-06 12:00:00,269050,238394
2017-07-06 16:00:00,249300,229398
2017-07-06 20:00:00,246000,237194
2017-07-07 00:00:00,252000,236145
2017-07-07 04:00:00,253150,234342
2017-07-07 08:00:00,253650,225462
2017-07-07 12:00:00,242000,219278
2017-07-07 16:00:00,241750,215560
2017-07-07 20:00:00,242500,213396
