DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,3706850,185060396
2017-07-01 04:00:00,219250,297118812
2017-07-01 08:00:00,44546150,76612391
2017-07-01 12:00:00,73331500,94076115
2017-07-01 16:00:00,6848000,44923710
2017-07-01 20:00:00,5618600,96979713
2017-07-02 00:00:00,213000,86938045
2017-07-02 04:00:00,4443600,115063984
2017-07-02 08:00:00,27244800,40772681
2017-07-02 12:00:00,2480400,75823262
2017-07-02 16:00:00,7220500,374635819
2017-07-02 20:00:00,30268800,140153611
2017-07-03 00:00:00,0,122343327
2017-07-03 04:00:00,25668000,71751783
2017-07-03 08:00:00,33946850,102870749
2017-07-03 12:00:00,2082500,273185420
2017-07-03 16:00:00,8229000,142647171
2017-07-03 20:00:00,13919400,326690522
2017-07-04 00:00:00,22248000,254990718
2017-07-04 04:00:00,3256500,226855408
2017-07-04 08:00:00,25971800,30578129
2017-07-04 12:00:00,28954100,12744442
2017-07-04 16:00:00,4430000,108561410
2017-07-04 20:00:00,6624000,119476094
2017-07-05 00:00:00,41270900,89169865
2017-07-05 04:00:00,8800000,63393610
2017-07-05 08:00:00,10955000,25756016
2017-07-05 12:00:00,16575000,230927304
2017-07-05 16:00:00,44277500,377544163
2017-07-05 20:00:00,47827500,321019778
2017-07-06 00:00:00,337263900,844125094
2017-07-06 04:00:00,67564800,1480541440
2017-07-06 08:00:00,111608100,1404376803
2017-07-06 12:00:00,491554350,679428759
2017-07-06 16:00:00,713247300,430330686
2017-07-06 20:00:00,41328000,413577978
2017-07-07 00:00:00,150948000,543312940
2017-07-07 04:00:00,25821300,224555428
2017-07-07 08:00:00,61129650,361656552
2017-07-07 12:00:00,155606000,614305343
2017-07-07 16:00:00,151093750,318599570
2017-07-07 20:00:00,184785000,359270520
