DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,363250,321270
2017-07-01 04:00:00,360900,310362
2017-07-01 08:00:00,353300,298848
2017-07-01 12:00:00,350950,297163
2017-07-01 16:00:00,330600,297471
2017-07-01 20:00:00,344200,298686
2017-07-02 00:00:00,333000,278659
2017-07-02 04:00:00,330700,286185
2017-07-02 08:00:00,331800,277739
2017-07-02 12:00:00,324000,288555
2017-07-02 16:00:00,321900,293293
2017-07-02 20:00:00,329250,290818
2017-07-03 00:00:00,323800,307438
2017-07-03 04:00:00,333500,312032
2017-07-03 08:00:00,338800,306696
2017-07-03 12:00:00,338550,303053
2017-07-03 16:00:00,337950,305752
2017-07-03 20:00:00,336250,314973
2017-07-04 00:00:00,340050,312049
2017-07-04 04:00:00,340050,309237
2017-07-04 08:00:00,338700,313736
2017-07-04 12:00:00,338500,313173
2017-07-04 16:00:00,337750,316266
2017-07-04 20:00:00,339150,302704
2017-07-05 00:00:00,333950,296306
2017-07-05 04:00:00,330400,299904
2017-07-05 08:00:00,325150,300242
2017-07-05 12:00:00,324000,290552
2017-07-05 16:00:00,323300,290897
2017-07-05 20:00:00,310400,287366
2017-07-06 00:00:00,309800,301410
2017-07-06 04:00:00,320800,298116
2017-07-06 08:00:00,318500,297046
2017-07-06 12:00:00,314200,302198
2017-07-06 16:00:00,321450,302491
2017-07-06 20:00:00,325700,297993
2017-07-07 00:00:00,321200,293281
2017-07-07 04:00:00,318500,297844
2017-07-07 08:00:00,319650,294619
2017-07-07 12:00:00,316150,285555
2017-07-07 16:00:00,313600,278314
2017-07-07 20:00:00,312000,272522
