DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,1338939500,2686213547
2017-07-01 04:00:00,103939200,8021368003
2017-07-01 08:00:00,1485626500,5434085038
2017-07-01 12:00:00,3058529250,4576622782
2017-07-01 16:00:00,2000460600,3046822557
2017-07-01 20:00:00,894231600,2918730822
2017-07-02 00:00:00,716616000,8335478594
2017-07-02 04:00:00,1075105700,4878519972
2017-07-02 08:00:00,891878400,4196423418
2017-07-02 12:00:00,1852956000,2848170730
2017-07-02 16:00:00,1335885000,7056712306
2017-07-02 20:00:00,769786500,3261131388
2017-07-03 00:00:00,411226000,8055391382
2017-07-03 04:00:00,784392000,5085015761
2017-07-03 08:00:00,1818000800,3387090881
2017-07-03 12:00:00,1244171250,1841942781
2017-07-03 16:00:00,589046850,1690923403
2017-07-03 20:00:00,476466250,8138285655
2017-07-04 00:00:00,1107202800,2401170631
2017-07-04 04:00:00,83312250,1757817286
2017-07-04 08:00:00,372908700,3373431859
2017-07-04 12:00:00,1025993500,763900615
2017-07-04 16:00:00,237438250,1220954449
2017-07-04 20:00:00,151939200,3753829461
2017-07-05 00:00:00,743372700,4552331189
2017-07-05 04:00:00,57489600,970632439
2017-07-05 08:00:00,449357300,2350437111
2017-07-05 12:00:00,526176000,1631636374
2017-07-05 16:00:00,303578700,2477032601
2017-07-05 20:00:00,1383452800,3427552526
2017-07-06 00:00:00,843275600,4235613476
2017-07-06 04:00:00,1409274400,1343448199
2017-07-06 08:00:00,570433500,892268339
2017-07-06 12:00:00,190091000,2084485800
2017-07-06 16:00:00,3156960450,1836811177
2017-07-06 20:00:00,1139624300,1275996664
2017-07-07 00:00:00,203962000,1449156289
2017-07-07 04:00:00,118163500,761144710
2017-07-07 08:00:00,274899000,485607634
2017-07-07 12:00:00,611117950,2257471976
2017-07-07 16:00:00,1333740800,2210249103
2017-07-07 20:00:00,268632000,4769108564
