DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,26821566,663813825
2017-07-01 04:00:00,8198505,470535486
2017-07-01 08:00:00,205002122,474640883
2017-07-01 12:00:00,58889150,639229187
2017-07-01 16:00:00,430143252,133285423
2017-07-01 20:00:00,140919856,505553426
2017-07-02 00:00:00,51880032,222002354
2017-07-02 04:00:00,21306080,292242152
2017-07-02 08:00:00,36288480,167785015
2017-07-02 12:00:00,112406514,251884600
2017-07-02 16:00:00,22345036,132435374
2017-07-02 20:00:00,69830194,73206092
2017-07-03 00:00:00,15727852,307515774
2017-07-03 04:00:00,22638524,334169620
2017-07-03 08:00:00,172926448,152496912
2017-07-03 12:00:00,42008804,157335501
2017-07-03 16:00:00,154737555,143336447
2017-07-03 20:00:00,94498518,965410878
2017-07-04 00:00:00,118875798,386979905
2017-07-04 04:00:00,4650894,148187589
2017-07-04 08:00:00,139255424,358868566
2017-07-04 12:00:00,307637712,103237517
2017-07-04 16:00:00,145757286,243922748
2017-07-04 20:00:00,3594276,457372213
2017-07-05 00:00:00,69970355,332023812
2017-07-05 04:00:00,18999088,91737831
2017-07-05 08:00:00,189098206,141766964
2017-07-05 12:00:00,121316722,499823016
2017-07-05 16:00:00,108280185,218294280
2017-07-05 20:00:00,99714979,138663767
2017-07-06 00:00:00,217131000,182971597
2017-07-06 04:00:00,31899000,330605286
2017-07-06 08:00:00,99175286,215031264
2017-07-06 12:00:00,67095600,78518023
2017-07-06 16:00:00,570245700,235099451
2017-07-06 20:00:00,112291662,174210625
2017-07-07 00:00:00,71465100,195505339
2017-07-07 04:00:00,11251681,181108729
2017-07-07 08:00:00,18778186,183873109
2017-07-07 12:00:00,61611991,285714730
2017-07-07 16:00:00,254895492,271043204
2017-07-07 20:00:00,202753205,383446670
