DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,3087000,2794425
2017-07-01 04:00:00,3068000,2725407
2017-07-01 08:00:00,3046000,2667314
2017-07-01 12:00:00,3003000,2735017
2017-07-01 16:00:00,2982000,2724664
2017-07-01 20:00:00,3020000,2703347
2017-07-02 00:00:00,2999000,2628575
2017-07-02 04:00:00,2992000,2638687
2017-07-02 08:00:00,3010000,2592504
2017-07-02 12:00:00,3008000,2642575
2017-07-02 16:00:00,2982000,2674061
2017-07-02 20:00:00,3020000,2681933
2017-07-03 00:00:00,2999000,2725788
2017-07-03 04:00:00,2992000,2738319
2017-07-03 08:00:00,3010000,2723539
2017-07-03 12:00:00,3008000,2730776
2017-07-03 16:00:00,3029000,2770768
2017-07-03 20:00:00,3024000,2882831
2017-07-04 00:00:00,3092000,2855105
2017-07-04 04:00:00,3087000,2852247
2017-07-04 08:00:00,3120000,2934945
2017-07-04 12:00:00,3127000,2927074
2017-07-04 16:00:00,3145000,2931571
2017-07-04 20:00:00,3118000,2872592
2017-07-05 00:00:00,3126000,2833703
2017-07-05 04:00:00,3115000,2901210
2017-07-05 08:00:00,3138000,2855193
2017-07-05 12:00:00,3098000,2805628
2017-07-05 16:00:00,3080000,2829441
2017-07-05 20:00:00,3064000,2873098
2017-07-06 00:00:00,3100000,2926511
2017-07-06 04:00:00,3107000,2922576
2017-07-06 08:00:00,3116000,2923801
2017-07-06 12:00:00,3119000,2907628
2017-07-06 16:00:00,3117000,2884631
2017-07-06 20:00:00,3104000,2893339
2017-07-07 00:00:00,3108000,2898348
2017-07-07 04:00:00,3112000,2912394
2017-07-07 08:00:00,3117000,2881798
2017-07-07 12:00:00,3092000,2834564
2017-07-07 16:00:00,3076000,2793258
2017-07-07 20:00:00,3084000,2811249
