DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,22295,19938
2017-07-01 04:00:00,22195,19285
2017-07-01 08:00:00,22020,18942
2017-07-01 12:00:00,21890,19094
2017-07-01 16:00:00,21210,18993
2017-07-01 20:00:00,21645,18747
2017-07-02 00:00:00,21150,17781
2017-07-02 04:00:00,21060,18130
2017-07-02 08:00:00,20890,17838
2017-07-02 12:00:00,20650,18411
2017-07-02 16:00:00,20675,18228
2017-07-02 20:00:00,20850,18335
2017-07-03 00:00:00,20670,18914
2017-07-03 04:00:00,20770,19226
2017-07-03 08:00:00,21075,18662
2017-07-03 12:00:00,20890,18695
2017-07-03 16:00:00,20930,18959
2017-07-03 20:00:00,20775,19679
2017-07-04 00:00:00,21185,19409
2017-07-04 04:00:00,21060,19247
2017-07-04 08:00:00,21195,19815
2017-07-04 12:00:00,21165,19769
2017-07-04 16:00:00,21600,20118
2017-07-04 20:00:00,21440,19443
2017-07-05 00:00:00,21325,19251
2017-07-05 04:00:00,21200,19459
2017-07-05 08:00:00,21165,19431
2017-07-05 12:00:00,21070,18968
2017-07-05 16:00:00,20985,18795
2017-07-05 20:00:00,20500,19177
2017-07-06 00:00:00,20600,19566
2017-07-06 04:00:00,20800,19496
2017-07-06 08:00:00,20855,19270
2017-07-06 12:00:00,20610,19589
2017-07-06 16:00:00,22490,19589
2017-07-06 20:00:00,21180,19454
2017-07-07 00:00:00,20900,19173
2017-07-07 04:00:00,20960,19570
2017-07-07 08:00:00,20980,19454
2017-07-07 12:00:00,21060,19117
2017-07-07 16:00:00,20720,18599
2017-07-07 20:00:00,20700,18172
