DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,129623130,201308949
2017-07-01 04:00:00,110975,424524566
2017-07-01 08:00:00,113667240,260379564
2017-07-01 12:00:00,144408330,249478133
2017-07-01 16:00:00,50840370,110968349
2017-07-01 20:00:00,20064915,227339125
2017-07-02 00:00:00,107716950,508486739
2017-07-02 04:00:00,51175800,461939592
2017-07-02 08:00:00,48088780,212529014
2017-07-02 12:00:00,67855900,208752198
2017-07-02 16:00:00,25016750,917611168
2017-07-02 20:00:00,17117850,116406013
2017-07-03 00:00:00,23977200,737443475
2017-07-03 04:00:00,54417400,770450335
2017-07-03 08:00:00,116376150,295347224
2017-07-03 12:00:00,47357630,327134304
2017-07-03 16:00:00,82736290,343770262
2017-07-03 20:00:00,96645300,1620274941
2017-07-04 00:00:00,353196320,442309323
2017-07-04 04:00:00,16974360,300522349
2017-07-04 08:00:00,82702890,492031787
2017-07-04 12:00:00,305326290,62067909
2017-07-04 16:00:00,841406400,568089065
2017-07-04 20:00:00,63784000,579698307
2017-07-05 00:00:00,56703175,475602268
2017-07-05 04:00:00,18401600,276336050
2017-07-05 08:00:00,24551400,238344509
2017-07-05 12:00:00,68709270,328129807
2017-07-05 16:00:00,38087775,173218068
2017-07-05 20:00:00,175746500,180484972
2017-07-06 00:00:00,51108600,249318866
2017-07-06 04:00:00,36587200,188405707
2017-07-06 08:00:00,67007115,236991618
2017-07-06 12:00:00,71413650,300481710
2017-07-06 16:00:00,3199944670,351361478
2017-07-06 20:00:00,211058700,127654361
2017-07-07 00:00:00,63201600,106136673
2017-07-07 04:00:00,9767360,67400441
2017-07-07 08:00:00,4384820,335246032
2017-07-07 12:00:00,142534080,272000807
2017-07-07 16:00:00,206702720,262102647
2017-07-07 20:00:00,60630300,439165221
