DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,49500,44880
2017-07-01 04:00:00,49600,43562
2017-07-01 08:00:00,49650,42561
2017-07-01 12:00:00,48700,43181
2017-07-01 16:00:00,48150,42773
2017-07-01 20:00:00,48700,42787
2017-07-02 00:00:00,48100,41167
2017-07-02 04:00:00,47750,41741
2017-07-02 08:00:00,47400,40145
2017-07-02 12:00:00,46500,41766
2017-07-02 16:00:00,46550,42610
2017-07-02 20:00:00,47500,42752
2017-07-03 00:00:00,47050,44951
2017-07-03 04:00:00,48630,45479
2017-07-03 08:00:00,49000,45542
2017-07-03 12:00:00,49220,49242
2017-07-03 16:00:00,54520,50813
2017-07-03 20:00:00,55750,52840
2017-07-04 00:00:00,56000,51448
2017-07-04 04:00:00,55760,50940
2017-07-04 08:00:00,56200,56800
2017-07-04 12:00:00,61300,57687
2017-07-04 16:00:00,60090,56225
2017-07-04 20:00:00,59260,57428
2017-07-05 00:00:00,61850,56302
2017-07-05 04:00:00,61700,61476
2017-07-05 08:00:00,64700,60237
2017-07-05 12:00:00,64500,56551
2017-07-05 16:00:00,62880,56965
2017-07-05 20:00:00,62350,56729
2017-07-06 00:00:00,60490,58219
2017-07-06 04:00:00,61230,59302
2017-07-06 08:00:00,64100,58474
2017-07-06 12:00:00,61280,56760
2017-07-06 16:00:00,60010,55925
2017-07-06 20:00:00,59610,56683
2017-07-07 00:00:00,60400,56574
2017-07-07 04:00:00,60880,57029
2017-07-07 08:00:00,60900,55101
2017-07-07 12:00:00,59530,53008
2017-07-07 16:00:00,57600,51502
2017-07-07 20:00:00,57810,52143
