DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,81724500,496659162
2017-07-01 04:00:00,37745600,470336153
2017-07-01 08:00:00,50295450,405293227
2017-07-01 12:00:00,52839500,255511632
2017-07-01 16:00:00,82047600,97482458
2017-07-01 20:00:00,24983100,238714341
2017-07-02 00:00:00,15440100,501537504
2017-07-02 04:00:00,23922750,941249887
2017-07-02 08:00:00,78304800,552555025
2017-07-02 12:00:00,39432000,223930207
2017-07-02 16:00:00,43943200,386169822
2017-07-02 20:00:00,29355000,292632680
2017-07-03 00:00:00,58294950,1156773972
2017-07-03 04:00:00,95752470,1046492982
2017-07-03 08:00:00,66787000,544402190
2017-07-03 12:00:00,24610000,3021051686
2017-07-03 16:00:00,1056761160,2317643314
2017-07-03 20:00:00,1633419250,4176369881
2017-07-04 00:00:00,943600000,1291509513
2017-07-04 04:00:00,39199280,1154300751
2017-07-04 08:00:00,101609600,3524418497
2017-07-04 12:00:00,543424500,950158282
2017-07-04 16:00:00,311746920,1219342639
2017-07-04 20:00:00,403501340,4264252049
2017-07-05 00:00:00,1760003600,3600256517
2017-07-05 04:00:00,80024900,3104669099
2017-07-05 08:00:00,1157741800,3673050209
2017-07-05 12:00:00,1166289000,3016785601
2017-07-05 16:00:00,428590080,2215958707
2017-07-05 20:00:00,673317650,2270619310
2017-07-06 00:00:00,1355520410,1717367170
2017-07-06 04:00:00,413608650,1362219171
2017-07-06 08:00:00,1483530400,1154542972
2017-07-06 12:00:00,239972480,719775405
2017-07-06 16:00:00,2417622870,1237904443
2017-07-06 20:00:00,863391240,689892016
2017-07-07 00:00:00,587631600,355306777
2017-07-07 04:00:00,11080160,677205309
2017-07-07 08:00:00,110594400,1174447279
2017-07-07 12:00:00,1094161400,1789613177
2017-07-07 16:00:00,1788825600,895753238
2017-07-07 20:00:00,1119317220,2176028239
